ID;FictionWork;FictionWorkAuthor;FictionWorkYear;FirstFilmAdaptation;FilmAdaptationYear
177;Anna and the King of Siam;Margaret Landon;1944;Anna and the King of Siam;1946
181;Anna Karenina;NaN;NaN;Anna Karenina;1914
193;Anna to the Infinite Power;Mildred Ames;1979;Anna to the Infinite Power;1983
194;Anne of Avonlea;Lucy Maud Montgomery;1909;NaN;NaN
195;Anne of Green Gables;Lucy Maud Montgomery;1908;Anne of Green Gables;1919
203;Anne of Windy Poplars;Lucy Maud Montgomery;1936;NaN;NaN
204;Annihilation;Jeff VanderMeer;2014;Annihilation;2018
205;The Anointed;Clyde Brion Davis;1937;Adventure;1945
206;Another (アナザー, Anazā);Yukito Ayatsuji;2009;Another;2012
207;Anthony Adverse;Hervey Allen;1933;Anthony Adverse;1936
208;Antikiller (French: Антикиллер);Daniil Koretsky;1999;Antikiller;2002
209;Antonieta;Andrés Henestrosa;1978;Antonieta;1982
210;Apache Rising;Marvin H. Albert;1957;Duel at Diablo;1966
211;The Apocalypse Watch;Robert Ludlum;1995;The Apocalypse Watch;1997
212;The Apple Dumpling Gang;Jack Bickham;1971;The Apple Dumpling Gang;1975
215;Appointment with Death;Agatha Christie;1938;Appointment with Death;1988
216;Appointment with Venus;Jerrard Tickell;1951;Appointment with Venus;1951
217;The Apprenticeship of Duddy Kravitz;Mordecai Richler;1959;The Apprenticeship of Duddy Kravitz;1974
218;The Army of Shadows (French: L'Armée des ombres);Joseph Kessel;1943;Army of Shadows (French: L'Armée des ombres);1969
219;Around the World in Eighty Days (French: Le tour du monde en quatre-vingts jours);Jules Verne;1873;Die Jagd nach der Hundertpfundnote oder Die Reise um die Welt;1913
233;Arouse and Beware;MacKinlay Kantor;1936;The Man from Dakota;1940
234;Arrowsmith;Sinclair Lewis;1925;Arrowsmith;1931
235;Ashes and Diamonds (Polish: Popiół i diament);Jerzy Andrzejewski;1948;Ashes and Diamonds;1958
236;Ask the Dust;John Fante;1939;Ask the Dust;2006
237;Asking for Trouble;Elizabeth Young;2001;The Wedding Date;2005
238;The Asphalt Jungle;W. R. Burnett;1949;The Asphalt Jungle;1950
240;The Assassination Bureau, Ltd;Jack London;1963;The Assassination Bureau;1969
241;The Assassination of Jesse James by the Coward Robert Ford;Ron Hansen;1983;The Assassination of Jesse James by the Coward Robert Ford;2007
242;The Assault (Dutch: De Aanslag);Harry Mulisch;1982;The Assault;1986
243;L'Assommoir;Émile Zola;1877;Gervaise;1956
244;The Astronauts (Polish: Astronauci);Stanisław Lem;1951;First Spaceship on Venus;1960
245;Asylum;Patrick McGrath;1996;Asylum;2005
246;At Play in the Fields of the Lord;Peter Matthiessen;1965;At Play in the Fields of the Lord;1991
247;At the Earth's Core;NaN;NaN;At the Earth's Core;1976
248;At the Étoile du Nord (French: L'Étoile du Nord);Georges Simenon;1854;L'Etoile du Nord;1982
249;Atlantis;Gerhart Hauptmann;1912;Atlantis;1913
250;Atomised (French: Les Particules élémentaires);Michel Houellebecq;1998;The Elementary Particles;2006
252;Atonement;Ian McEwan;2001;Atonement;2007
253;Audrey Rose;Frank De Felitta;1975;Audrey Rose;1977
254;The Auction Block;Rex Beach;1914;The Auction Block;1917
256;Audition (オーディション, Ōdishon);Ryu Murakami;1997;Audition;1999
257;Auntie Mame;Patrick Dennis;1955;Auntie Mame;1958
258;Avalon High;Meg Cabot;2005;Avalon High;2010
259;The Aviator;Ernest K. Gann;1981;The Aviator;1985
260;Away All Boats;Kenneth M. Dodson;1953;Away All Boats;1956
261;An Awfully Big Adventure;Beryl Bainbridge;1989;An Awfully Big Adventure;1995
262;The Ax;Donald E. Westlake;1997;The Axe (French: Le couperet);2005
263;Baby Love;Tina Chad Christian;1968;Baby Love;1968
264;Babylon Babies;Maurice Georges Dantec;1999;Babylon A.D.;2008
265;Back Street;Fannie Hurst;1931;Back Street;1932
268;Back When We Were Grownups;Anne Tyler;2001;Back When We Were Grownups;2004
269;Background to Danger (1937);NaN;NaN;Background to Danger;1943
