ID;FictionWork;FictionWorkAuthor;FictionWorkYear;FirstFilmAdaptation;FilmAdaptationYear
634;Clair de femme;Romain Gary;1977;Womanlight;1979
635;The Clan of the Cave Bear;Jean Auel;1980;The Clan of the Cave Bear;1986
636;The Clansman: A Historical Romance of the Ku Klux Klan;Thomas Dixon, Jr.;1905;The Birth of a Nation;1915
638;Class Reunion (German: Der Abituriententag);Franz Werfel;1928;Class Reunion;1974
639;Clean Break;Lionel White;1955;The Killing;1956
640;Clear and Present Danger;Tom Clancy;1989;Clear and Present Danger;1994
641;The Client;John Grisham;1993;The Client;1994
642;Clockers;Richard Price;1992;Clockers;1995
643;A Clockwork Orange;Anthony Burgess;1962;Vinyl;1965
645;The Club Dumas (Spanish: El Club Dumas);Arturo Pérez-Reverte;1993;The Ninth Gate;1999
646;Cockfighter;Charles Willeford;1962;Cockfighter;1974
647;Cocoon;David Saperstein;1985;Cocoon;1985
649;The Code of the West;Zane Grey;1934;Code of the West;1925
651;Coins in the Fountain;John Hermes Secondari;1952;Three Coins in the Fountain;1954
654;Cold Mountain;Charles Frazier;1997;Cold Mountain;2003
655;Colonel Wolodyjowski (Polish: Pan Wołodyjowski);Henryk Sienkiewicz;1888;Colonel Wolodyjowski;1968
656;The Color of Money;Walter Tevis;1984;The Color of Money;1986
657;The Color Purple;Alice Walker;1982;The Color Purple;1985
659;The Colors of the Day;Romain Gary;1952;The Man Who Understood Women;1959
660;Colossus;Dennis Feltham Jones;1966;Colossus: The Forbin Project;1970
661;The Comedians;Graham Greene;1966;The Comedians;1967
662;The Comfort of Strangers;Ian McEwan;1981;The Comfort of Strangers;1990
663;Compulsion;Meyer Levin;1956;Compulsion;1959
664;Comrade Jacob;David Caute;1961;Winstanley;1975
665;Comrades: A Story of Social Adventure in California;Thomas Dixon, Jr.;1909;Bolshevism on Trial;1919
666;The Constant Nymph;Margaret Kennedy;1923;The Constant Nymph;1928
669;Conagher;Louis L'Amour;1968;Conagher;1991
670;Confessions of a Crap Artist;Philip K. Dick;1975;Barjo (French: Confessions d'un Barjo);1992
671;Congo;Michael Crichton;1980;Congo;1995
672;A Connecticut Yankee in King Arthur's Court;Mark Twain;1889;A Connecticut Yankee in King Arthur's Court;1921
685;The Constant Gardener;John le Carré;2001;The Constant Gardener;2005
686;Contact;Carl Sagan;1985;Contact;1997
687;Cool Hand Luke;Donn Pearce;1965;Cool Hand Luke;1967
688;Cops and Robbers;Donald E. Westlake;1972;Cops and Robbers;1973
689;Coroner Creek;Luke Short;1945;Coroner Creek;1948
690;The Count of Monte Cristo (French: Le comte de Monte Cristo);Alexandre Dumas, père;1844;The Count of Monte Cristo;1913
713;The Cowboys;William Dale Jennings;1971;The Cowboys;1972
714;Cracking India;Bapsi Sidhwa;1991;Earth;1998
715;Crash;J. G. Ballard;1973;Crash;1996
716;Creator;Jeremy Leven;1980;Creator;1985
717;The Crime of Father Amaro (Portuguese: O Crime do Padre Amaro);José Maria de Eça de Queiroz;1875;The Crime of Padre Amaro (Spanish: El crimen del padre Amaro);2002
719;Crossfire Trail;Louis L'Amour;1954;Crossfire Trail;2001
720;Crouching Tiger, Hidden Dragon (Chinese: 卧虎藏龙, Wòhǔ Cánglóng);Wang Dulu;1942;Crouching Tiger, Hidden Dragon;2000
722;The Cruel Sea;Nicholas Monsarrat;1951;The Cruel Sea;1953
723;Cry Wolf (a. k. a. The Demarest Inheritance);Marjorie Carleton;1945;Cry Wolf;1947
724;Cutter and Bone;Newton Thornburg;1976;Cutter's Way;1981
725;Cyborg;Martin Caidin;1972;The Six Million Dollar Man;1973
726;Cycle of the Werewolf;Stephen King;1983;Silver Bullet;1985
727;The Cypher (a. k. a. The Cipher);Gordon Cotler;1961;Arabesque;1966
728;The Da Vinci Code;Dan Brown;2003;The Da Vinci Code;2006
729;Dad;William Wharton;1981;Dad;1989
730;Damage;Josephine Hart;1991;Damage;1992
731;Damnation Alley;Roger Zelazny;1967;Damnation Alley;1977
732;The Damned Utd;David Peace;2006;The Damned United;2009
733;The Dancer Upstairs;Nicholas Shakespeare;1995;The Dancer Upstairs;2002
734;Dances with Wolves;Michael Blake;1986;Dances with Wolves;1990
735;A Dandy in Aspic;Derek Marlowe;1966;A Dandy in Aspic;1968
736;The Dangerous Liaisons (French: Les Liaisons dangereuses);Pierre Choderlos de Laclos;1782;Les Liaisons dangereuses;1959
745;The Dangerous Lives of Altar Boys;Chris Fuhrman;2001;The Dangerous Lives of Altar Boys;2002
746;Daniel Deronda;George Eliot;1876;Daniel Deronda;1921
747;Danny, the Champion of the World;Roald Dahl;1975;Danny, the Champion of the World;1989
748;Darby O'Gill and the Good People;Herminie Templeton Kavanagh;1903;Darby O'Gill and the Little People;1959
749;The Dark Fields;Alan Glynn;2001;Limitless;2011
750;The Dark Is Rising Sequence;Susan Cooper;1965;The Seeker;2007
751;The Dark of the Sun;Wilbur Smith;1965;Dark of the Sun;1968
752;Dark Passage;David Goodis;1946;Dark Passage;1947
753;The Dark Tower;Stephen King;1998;The Dark Tower;2017
754;David Copperfield;NaN;NaN;David Copperfield;1911
764;The Day of the Dolphin (French: Un animal doué de raison);Robert Merle;1967;The Day of the Dolphin;1973
765;The Day of the Jackal;Frederick Forsyth;1971;The Day of the Jackal;1973
768;The Day of the Locust;Nathanael West;1939;The Day of the Locust;1975
769;The Day of the Triffids;John Wyndham;1951;The Day of the Triffids;1962
770;The Day They Robbed the Bank of England;John Brophy;1959;The Day They Robbed the Bank of England;1960
771;Day with a Perfect Stranger;David Gregory;2006;NaN;NaN
772;The Daybreakers;NaN;NaN;The Sacketts;1979
773;Dead Calm;Charles F. Williams;1963;Dead Calm;1989
774;The Dead End (Egyptian Arabic: الطريق المسدود, Al-Tareeq al-Masdood);Ihsan Abdel Quddous;1955;The Barred Road;1958
775;The Dead Take No Bows;Richard Bruke;1941;Dressed to Kill;1941
776;The Dead Zone;Stephen King;1979;The Dead Zone;1983
777;Deadline at Dawn (1944), Cornell Woolrich;Cornell Woolrich (as William Irish);1944;Deadline at Dawn;1946
778;The Deadly Duo;Richard Jessup;1959;The Deadly Duo;1962
779;Deadly, Unna?;Phillip Gwynne;1998;Australian Rules;2002
780;Dealing: or the Berkeley-to-Boston Forty-Brick Lost-Bag Blues (1970), Michael Crichton and Douglas Crichton;Michael Crichton and Douglas Crichton (as Michael Douglas);1970;Dealing: Or the Berkeley-to-Boston Forty-Brick Lost-Bag Blues;1972
781;Dear John;Nicholas Sparks;2006;Dear John;2010
782;Death in Venice (German: Der Tod in Venedig);Thomas Mann;1912;Death in Venice;1971
783;Death of a Common Man;Desmond Holdridge;1946;The End of the River;1947
784;The Death of Arthur (French: Le Morte d'Arthur);Sir Thomas Malory;1485;Knights of the Round Table;1953
786;Death on the Nile;Agatha Christie;1937;Death on the Nile;1978
789;Death Sentence;Brian Garfield;1975;Death Sentence;2007
790;Death Wish;Brian Garfield;1972;Death Wish;1974
792;The Deceivers;John Masters;1952;The Deceivers;1988
793;December Boys;Michael Noonan;1963;December Boys;2007
794;The Deep;Peter Benchley;1976;The Deep;1977
795;The Deep End of the Ocean;Jacquelyn Mitchard;1996;The Deep End of the Ocean;1999
796;Deep Water;Patricia Highsmith;1957;Eaux profondes;1981
798;Deliverance;James Dickey;1970;Deliverance;1972
799;The Deluge;Henryk Sienkiewicz;1886;The Deluge;1974
800;Deluge;S. Fowler Wright;1928;Deluge;1933
801;Demon Seed;Dean Koontz;1973;Demon Seed;1977
802;Demons (Russian: Бесы, tr. Bésy, .mw-parser-output .IPA-label-small{font-size:85%}.mw-parser-output .references .IPA-label-small,.mw-parser-output .infobox .IPA-label-small,.mw-parser-output .navbox .IPA-label-small{font-size:100%}IPA: [ˈbʲe.sɨ]);Fyodor Dostoyevsky;1872;The Possessed;1988
803;Derailed;James Siegel;2003;Derailed;2005
804;Desert Fury;Ramona Stewart;1946;Desert Fury;1947
805;Desert Gold;Zane Grey;1913;Desert Gold;1919
808;Desert Guns;Steve Frazee;1957;Gold of the Seven Saints;1961
809;Desert of the Heart;Jane Rule;1964;Desert Hearts;1985
810;The Desperate Hours;Joseph Hayes;1954;The Desperate Hours;1955
813;Destry Rides Again;Max Brand;1930;Destry Rides Again;1932
816;The Detective;Roderick Thorp;1966;The Detective;1968
817;Detective;Arthur Hailey;1997;Detective;2005
818;The Devil All the Time;Donald Ray Pollock;2011;The Devil All the Time;2020
819;The Devil in the Flesh (French: Le Diable au corps);Raymond Radiguet;1923;Devil in the Flesh;1947
821;The Devil Rides Out;Dennis Wheatley;1934;The Devil Rides Out;1967
822;The Devil Wears Prada;Lauren Weisberger;2003;The Devil Wears Prada;2006
823;The Devil's Advocate;Morris West;1954;The Devil's Advocate (German: Des Teufels Advokat);1977
824;The Devil's Advocate;Andrew Neiderman;1990;The Devil's Advocate;1997
825;The Devil's Own;Norah Lofts;1966;The Witches;1966
826;The Devils of Loudun;Aldous Huxley;1952;The Devils;1971
827;The Diamond Hunters;Wilbur Smith;1971;The Kingfisher Caper;1975
828;Diamonds Are Forever;Ian Fleming;1956;Diamonds Are Forever;1971
829;The Diary of a Country Priest (French: Journal d'un curé de campagne);Georges Bernanos;1936;Diary of a Country Priest;1951
830;The Dice of God;Hoffman Birney;1962;The Glory Guys;1965
831;The Dig;John Preston;2007;The Dig;2021
832;Dinner with a Perfect Stranger: An Invitation Worth Considering;David Gregory;2005;The Perfect Stranger;2005
835;The Dirty Dozen;E. M. Nathanson;1965;The Dirty Dozen;1967
836;Dirty Weekend;Helen Zahavi;1991;Dirty Weekend;1993
837;Disappearing Acts;Terry McMillan;1989;Disappearing Acts;2000
838;Disclosure;Michael Crichton;1994;Disclosure;1994
839;The Disorientated Man;Peter Saxon;1967;Scream and Scream Again;1970
840;Il disprezzo;Alberto Moravia;1954;Contempt (French: Le Mépris);1963
841;A Distant Trumpet;Paul Horgan;1951;A Distant Trumpet;1964
842;Divine Secrets of the Ya-Ya Sisterhood;Rebecca Wells;1996;Divine Secrets of the Ya-Ya Sisterhood;2002
843;Le Divorce;Diane Johnson;1997;Le Divorce;2003
844;Do Androids Dream of Electric Sheep?;Philip K. Dick;1967;Blade Runner;1982
846;Doctor;NaN;NaN;Doctor in the House;1954
853;Doctor Slaughter;Paul Theroux;1984;Half Moon Street;1986
854;Doctor Sleep;Stephen King;2013;Doctor Sleep;2019
855;Doctor Zhivago;Boris Pasternak;1957;Doctor Zhivago;1965
856;Dodsworth;Sinclair Lewis;1929;Dodsworth;1936
857;Dog Soldiers;Robert Stone;1974;Who'll Stop the Rain;1978
858;The Dogs of War;Frederick Forsyth;1974;The Dogs of War;1981
859;Don Quixote (The Ingenious Gentleman Don Quixote of La Mancha (Spanish: El ingenioso hidalgo don Quixote de la Mancha));Miguel de Cervantes;1605;Don Quixote;1908
883;Donovan's Brain;Curt Siodmak;1942;The Lady and the Monster;1944
886;Don't Look and It Won't Hurt;Richard Peck;1971;Gas Food Lodging;1992
887;Don't Say a Word;Andrew Klavan;1991;Don't Say a Word;2001
888;Don't Tell Anyone (Spanish: es:No se lo digas a nadie);Jaime Bayly;1994;No se lo Digas a Nadie (Don't Tell Anyone);1998
889;The Dork of Cork;Chet Raymo;1993;Frankie Starlight;1995
890;Double Indemnity;NaN;NaN;Double Indemnity;1944
892;The Double Take;Roy Huggins;1946;I Love Trouble;1948
893;Down Will Come Baby;Gloria Murphy;1991;Down Will Come Baby;1999
894;Dracula;Bram Stoker;1897;Dracula's Death (Hungarian: Drakula halála);1923
946;The Dragon and the George;Gordon R. Dickson;1976;The Flight of Dragons;1982
947;Dragon Seed;Pearl S. Buck;1942;Dragon Seed;1944
948;Dragons of Autumn Twilight;Margaret Weis and Tracy Hickman;1984;Dragonlance: Dragons of Autumn Twilight;2008
949;Dream Days;Kenneth Grahame;1898;The Reluctant Dragon;1941
950;The Dream Master;Roger Zelazny;1966;Dreamscape;1984
951;Dreamcatcher;Stephen King;2001;Dreamcatcher;2003
952;The Drift Fence;Zane Grey;1933;Drift Fence;1936
953;Dr. No;Ian Fleming;1958;Dr. No;1962
954;The Drowning Pool;Ross Macdonald;1950;The Drowning Pool;1975
955;Drums Along the Mohawk;Walter D. Edmonds;1936;Drums Along the Mohawk;1939
956;The Drums of Jeopardy;Harold MacGrath;1920;The Drums of Jeopardy;1923
958;The Dude Ranger;Zane Grey;1931;The Dude Ranger;1934
960;Duel in the Sun;Niven Busch;1941;Duel in the Sun;1946
961;Dune;Frank Herbert;1965;Dune;1984
964;The Dying Animal;Philip Roth;2001;Elegy;2008
965;Dying Young;Marti Leimbach;1990;Dying Young;1991
966;The Eagle Has Landed;Jack Higgins;1975;The Eagle Has Landed;1976
967;The Eagle of the Ninth;Rosemary Sutcliff;1954;The Eagle;2011
968;The Earthquake Bird;Susanna Jones;2001;Earthquake Bird;2019
969;East of Eden;John Steinbeck;1952;East of Eden;1955
970;Eaters of the Dead;Michael Crichton;1976;The 13th Warrior;1999
971;Eddie and the Cruisers;P. F. Kluge;1980;Eddie and the Cruisers;1983
972;The Egyptian (Finnish: Sinuhe egyptiläinen, Sinuhe the Egyptian);Mika Waltari;1945;The Egyptian;1954
973;Election;Tom Perrotta;1998;Election;1999
974;Elephant Walk (1948), Digby George Gerahty;Digby George Gerahty (as Robert Standish);1948;Elephant Walk;1954
975;Elles n'oublient jamais;Christopher Frank;1993;Elles n'oublient jamais;1994
976;Elmer Gantry;Sinclair Lewis;1927;Elmer Gantry;1960
977;Elsk meg i morgen (Love Me Tomorrow);Ingvar Ambjørnsen;1999;Elsk meg i morgen;2005
978;The Elusive Pimpernel;Baroness Orczy;1908;The Elusive Pimpernel;1919
980;Emma;Jane Austen;1815;Emma;1996
984;Emil and the Detectives (German: Emil und die Detektive);Erich Kästner;1929;Emil and the Detectives;1931
989;Emotional Arithmetic;Matt Cohen;1990;Emotional Arithmetic;2008
990;Empire of the Sun;J. G. Ballard;1984;Empire of the Sun;1987
991;The Enchanted April;Elizabeth von Arnim;1922;Enchanted April;1935
993;The Enchanted Voyage;Robert Nathan;1936;Wake Up and Dream;1946
994;The End of the Affair;Graham Greene;1951;The End of the Affair;1955
996;Endless Love;Scott Spencer;1979;Endless Love;1981
998;Enduring Love;Ian McEwan;1997;Enduring Love;2004
999;The Enemies of Women (Spanish: Los Enemigos de la Mujer);Vicente Blasco Ibáñez;1922;Enemies of Women;1923
1000;The Enemy Below;D. A. Rayner;1956;The Enemy Below;1957
1001;The English Patient;Michael Ondaatje;1992;The English Patient;1996
1002;Enigma;Robert Harris;1995;Enigma;2001
1003;The Entity;Frank De Felitta;1978;The Entity;1982
1004;Eragon;Christopher Paolini;2003;Eragon;2006
1005;Escape;Grace Zaring Stone;1939;Escape;1940
1006;Escape to Witch Mountain;Alexander Key;1968;Escape to Witch Mountain;1975
1011;The Evening Star;Larry McMurtry;1992;The Evening Star;1996
1012;Everybody's All-American;Frank Deford;1981;Everybody's All-American;1988
1013;Everything Is Illuminated;Jonathan Safran Foer;2002;Everything Is Illuminated;2005
1014;Evil Angels (French: Lunes de fiel);Pascal Bruckner;1981;Bitter Moon;1992
1015;Evil Come, Evil Go;Whit Masterson;1961;The Yellow Canary;1963
1016;Evil Under the Sun;Agatha Christie;1981;Evil Under the Sun;1982
1017;Except for Me and Thee;Jessamyn West;1955;Friendly Persuasion;1975
1018;The Executioners;John D. MacDonald;1957;Cape Fear;1962
1020;Executive Suite;Cameron Hawley;1952;Executive Suite;1954
1021;Exit to Eden (1984), Anne Rice;Anne Rice (as Anne Rampling);1984;Exit To Eden;1994
1022;Exit Wounds;John Westermann;1990;Exit Wounds;2001
1023;Exodus;Leon Uris;1958;Exodus;1960
1024;The Exorcist;William Peter Blatty;1971;The Exorcist;1973
1030;Experiment Perilous;Margaret Carpenter;1943;Experiment Perilous;1944
1031;Extremely Loud and Incredibly Close;Jonathan Safran Foer;2005;Extremely Loud and Incredibly Close;2012
1032;The Eye of the Beholder;Marc Behm;1980;Deadly Circuit (French: Mortelle Randonnée);1983
1034;Eye of the Needle;Ken Follett;1978;Eye of the Needle;1981
1036;Eyes Without a Face (French: Les yeux sans visage);Jean Redon;1959;Eyes Without a Face;1960
1037;Fahrenheit 451;Ray Bradbury;1953;Fahrenheit 451;1966
1039;Fail-Safe;Eugene Burdick and Harvey Wheeler;1962;Fail Safe;1964
1041;The Fair Bride;Bruce Marshall;1953;The Angel Wore Red;1960
1042;The Fall of a Nation;Thomas Dixon, Jr.;1916;The Fall of a Nation;1916
1043;Falling Angel;William Hjortsberg;1978;Angel Heart;1987
1044;False Witness;Dorothy Uhnak;1981;False Witness;1989
1045;Family Business;Vincent Patrick;1985;Family Business;1989
1046;The Fan;Bob Randall;1977;The Fan;1981
1047;The Fan;Peter Abrahams;1995;The Fan;1996
1048;Far from the Madding Crowd;Thomas Hardy;1874;Far from the Madding Crowd;1915
1052;Farewell My Concubine;Lilian Lee;1991;Farewell My Concubine;1993
1053;A Farewell to Arms;Ernest Hemingway;1929;A Farewell to Arms;1932
1055;Farewell to the King (French: L'Adieu au roi);Pierre Schoendoerffer;1969;Farewell to the King;1989
1056;Farewells (Polish: Pożegnania);Stanisław Dygat;1948;Farewells;1958
1057;Fate Is the Hunter;Ernest K. Gann;1961;Face Is the Hunter;1964
1058;Fatelessness (Hungarian: Sorstalanság);Imre Kertész;1975;Fateless;2005
1059;Father Malachy's Miracle;Bruce Marshall;1931;The Miracle of Father Malachia (German: Das Wunder des Malachias);1961
1060;Father of Frankenstein;[1] Christopher Bram;1995;Gods and Monsters;1998
1061;Father of the Bride;Edward Streeter;1949;Father of the Bride;1950
1066;Father Sky;Devery Freeman;1979;Taps;1981
1067;Fear and Loathing in Las Vegas;Hunter S. Thompson;1971;Fear and Loathing in Las Vegas;1998
1068;Fear and Trembling (French: Stupeur et tremblements);Amélie Nothomb;1999;Fear and Trembling (French: Stupeur et Tremblements);2003
1069;The Feather Men;Sir Ranulph Fiennes;1991;Killer Elite;2011
1070;Felidae;Akif Pirinçci;1989;Felidae;1994
1071;Femmes de personnes;Christopher Frank;1983;Femmes de personne;1984
1072;Fever Pitch;Nick Hornby;1992;Fever Pitch;1997
1074;Fiddler's Green;Ernest K. Gann;1950;The Raging Tide;1951
1075;Fifty Shades;NaN;NaN;Fifty Shades of Grey;2015
1078;Fight Club;Chuck Palahniuk;1996;Fight Club;1999
1079;Fighting Caravans;Zane Grey;1929;Fighting Caravans;1931
1081;The Final Programme;Michael Moorcock;1968;The Final Programme;1973
1082;Fire on the Mountain;Edward Abbey;1962;Fire on the Mountain;1981
1083;Firefox;Craig Thomas;1977;Firefox;1982
1084;Fires on the Plain (野火, Nobi);Shōhei Ōoka;1959;Fires on the Plain;1959
1086;Firestarter;Stephen King;1980;Firestarter;1984
1089;The Firm;John Grisham;1991;The Firm;1993
1090;First Blood;David Morrell;1972;First Blood;1982
1095;First Love, Last Rites;Ian McEwan;1975;Schmetterlinge;1988
1098;The First Men in the Moon;H. G. Wells;1901;The First Men in the Moon;1919
1101;The First Wives Club;Olivia Goldsmith;1992;The First Wives Club;1996
1102;The Five Fragments;George Bell Dyer;1932;Fog Over Frisco;1934
1104;The Five People You Meet in Heaven;Mitch Albom;2003;The Five People You Meet in Heaven;2004
1105;Five Weeks in a Balloon (French: Cinq semaines en ballon);Jules Verne;1863;Flight of the Lost Balloon;1961
1109;The Fixer;Bernard Malamud;1966;The Fixer;1968
1110;Flaming Youth;Samuel Hopkins Adams;1921;Flaming Youth;1923
1111;Flashpoint;George LaFountaine;1976;Flashpoint;1984
1112;Fletch;Gregory Mcdonald;1974;Fletch;1985
1115;Flight of the Intruder;Stephen Coonts;1986;Flight of the Intruder;1991
1116;The Flight of the Phoenix;Elleston Trevor;1964;The Flight of the Phoenix;1965
1118;Flowers in the Attic;V. C. Andrews;1979;Flowers in the Attic;1987
1120;Flowing Gold;Rex Beach;1922;Flowing Gold;1940
1121;Focus;Arthur Miller;1945;Focus;2002
1122;The Food of the Gods and How It Came to Earth;H. G. Wells;1904;Village of the Giants;1965
1125;The Fool of the Family;Margaret Kennedy;1930;Escape Me Never;1935
1127;Fools' Gold;Dolores Hitchens;1958;Bande à part (Band of Outsiders);1964
1128;For Love of the Game;Michael Shaara;1991;For Love of the Game;1999
1129;For Whom the Bell Tolls;Ernest Hemingway;1940;For Whom the Bell Tolls;1943
1130;The Forbidden Territory;Dennis Wheatley;1933;Forbidden Territory;1934
1131;Force 10 From Navarone;Alistair MacLean;1968;Force 10 from Navarone;1978
1132;The Forest (Portuguese: A Selva) (1900), José Maria Ferreira de Castro;José Maria Ferreira de Castro (as Ferreira de Castro);1900;The Forest;2002
1133;Forever Amber;Kathleen Winsor;1944;Forever Amber;1947
1134;Forlorn River;Zane Grey;1927;Forlorn River;1937
1135;The Formula;Steve Shagan;1979;The Formula;1980
1136;Forrest Gump;Winston Groom;1986;Forrest Gump;1994
1137;The Fountainhead;Ayn Rand;1943;The Fountainhead;1949
1138;The Four Feathers;A. E. W. Mason;1902;Four Feathers;1915
1145;The Fourth Man (Dutch: De vierde man);Gerard Reve;1981;The Fourth Man;1983
1146;The Fourth Protocol;Frederick Forsyth;1984;The Fourth Protocol;1987
1147;The Fox and the Hound;Daniel P. Mannix;1967;The Fox and the Hound;1981
1149;F.P.1 Doesn't Answer (a.k.a. F.P.1, or F.P.1 Doesn't Respond);Curt Siodmak;1933;F.P.1 (German: F.P.1 antwortet nicht);1932
1152;Frank Merriwell;NaN;NaN;The Adventures of Frank Merriwell;1936
1153;Frankenstein;Mary Shelley;1818;Life Without Soul;1915
1195;Freaky Friday;Mary Rodgers;1972;Freaky Friday;1976
1199;Freedomland;Richard Price;1998;Freedomland;2006
1200;The French Lieutenant's Woman;John Fowles;1969;The French Lieutenant's Woman;1981
1201;Fried Green Tomatoes at the Whistle Stop Cafe;Fannie Flagg;1987;Fried Green Tomatoes;1991
1202;Friend;Diana Henstell;1985;Deadly Friend;1986
1203;The Friendly Persuasion;Jessamyn West;1945;Friendly Persuasion;1956
1205;From Here to Eternity;James Jones;1951;From Here to Eternity;1953
1206;From Russia, with Love;Ian Fleming;1957;From Russia with Love;1963
1207;From the Earth to the Moon (French: De la Terre à la Lune, trajet direct en 97 heures 20 minutes);Jules Verne;1865;From the Earth to the Moon;1958
1211;From the Terrace;John O'Hara;1958;From the Terrace;1960
1212;Funeral in Berlin;Len Deighton;1964;Funeral in Berlin;1966
1213;Funny Farm;Jay Cronley;1985;Funny Farm;1988
1214;The Furies;Niven Busch;1948;The Furies;1950
1215;The Fury;John Farris;1976;The Fury;1978
1216;The Fuzzy Pink Nightgown;Sylvia Tate;1956;The Fuzzy Pink Nightgown;1957
1217;The Game of X;Robert Sheckley;1965;Condorman;1981
1218;The Garden of Allah;Robert Smythe Hichens;1904;The Garden of Allah;1916
1221;The Garden of God;Henry De Vere Stacpoole;1923;Return to the Blue Lagoon;1991
1222;The Garden of Sinners (空の境界, Kara no Kyōkai);Kinoko Nasu;1998;The Garden of Sinners: Overlooking View;2007
1230;Gardens of Stone;Nicholas Proffitt;1983;Gardens of Stone;1987
1231;Gasoline (Italian: Benzina);Elena Stancanelli;1998;Gasoline;2001
1232;Gate of Flesh (肉体の門, Nikutai no mo);Taijiro Tamura;1947;Gate of Flesh;1948
1237;The Gay Sisters;Stephen Longstreet;1942;The Gay Sisters;1942
1238;Gentle Annie;MacKinlay Kantor;1942;Gentle Annie;1944
1239;Gentlemen Prefer Blondes;Anita Loos;1925;Gentlemen Prefer Blondes;1928
1241;Geordie;David Walker;1950;Geordie;1955
1242;Georgy Girl;Margaret Forster;1965;Georgy Girl;1966
1243;Get Shorty;Elmore Leonard;1990;Get Shorty;1995
1244;The Getaway;Jim Thompson;1959;The Getaway;1972
1246;The Ghost (Spanish: El Fantasma);Wenceslao Fernández Flórez;1924;Apology of Destiny (Spanish: El destino se disculpa);1945
1247;The Ghost;Robert Harris;2007;The Ghost Writer;2010
1248;The Ghost and Mrs. Muir (1945), Josephine Leslie;Josephine Leslie (as R. A. Dick);1945;The Ghost and Mrs. Muir;1947
1249;Giant;Edna Ferber;1952;Giant;1956
1250;Gidget, the Little Girl with Big Ideas;Frederick Kohner;1957;Gidget;1959
1251;The Girl from Petrovka;George Feifer;1972;The Girl from Petrovka;1974
1252;The Girl in the Spider's Web;David Lagercrantz;2015;The Girl in the Spider's Web;2018
1253;The Girl Who Leapt Through Time (時をかける少女, Toki o Kakeru Shōjo);NaN;NaN;The Girl Who Leapt Through Time;1983
1258;Girl with a Pearl Earring;Tracy Chevalier;1999;Girl with a Pearl Earring;2003
1259;The Girls' Guide to Hunting and Fishing;Melissa Bank;2000;Suburban Girl;2008
1260;The Glass Inferno;Thomas N. Scortia and Frank M. Robinson;1974;The Towering Inferno;1974
1261;The Glass Rabbit (ガラスのうさぎ, Garasu no Usagi);Toshiko Takagi;1977;Tokyo Air Raid: The Glass Rabbit (東京大空襲　ガラスのうさぎ, Tōkyō Dai-kūshū: Garasu no Usagi);1979
1263;Glitz;Elmore Leonard;1985;Glitz;1988
1264;Glory for Me;MacKinlay Kantor;1945;The Best Years of Our Lives;1946
1265;Gnomes (Dutch: Leven en werken van de Kabouter);Wil Huygen and Rien Poortvliet;1977;Gnomes;1980
1266;The Gnomobile;Upton Sinclair;1937;The Gnome-Mobile;1967
1267;The Goalkeeper's Fear of the Penalty (German: Die Angst des Tormanns beim Elfmeter);Peter Handke;1970;The Goalkeeper's Fear of the Penalty;1972
1268;The Go-Between;L. P. Hartley;1953;The Go-Between;1971
1270;God and My Country;MacKinlay Kantor;1954;Follow Me, Boys!;1966
1271;The Godfather;Mario Puzo;1969;The Godfather;1972
1274;Gods and Generals;Jeffrey Shaara;1996;Gods and Generals;2003
1275;The Gods Hate Kansas;Joseph Millard;1941;They Came from Beyond Space;1967
1276;God's Little Acre;Erskine Caldwell;1933;God's Little Acre;1958
1277;Gold Coast;Elmore Leonard;1980;Gold Coast;1997
1278;Gold Mine;Wilbur Smith;1970;Gold;1974
1279;The Golden Bowl;Henry James;1904;The Golden Bowl;2000
1280;The Golden Dog (黄金の犬, Kogane no Inu);NaN;NaN;Dog of Fortune;1979
1281;The Golden Evenings of Summer;Will Stanton;1971;Charley and the Angel;1973
1282;The Golden Key, or The Adventures of Buratino;Aleksey Nikolayevich Tolstoy;1936;The Adventures of Buratino;1959
1284;Goldfinger;Ian Fleming;1959;Goldfinger;1964
1285;Gone with the Wind;Margaret Mitchell;1936;Gone with the Wind;1939
1286;The Good Earth;Pearl S. Buck;1931;The Good Earth;1937
1287;The Good German;Joseph Kanon;2001;The Good German;2006
1288;Good Morning, Midnight;Lily Brooks-Dalton;2016;The Midnight Sky;2020
1289;A Good Year;Peter Mayle;2004;A Good Year;2006
1290;Goodbye Piccadilly, Farewell Leicester Square;Arthur La Bern;1966;Frenzy;1972
1291;Goodbye, Mr. Chips;James Hilton;1934;Goodbye, Mr. Chips;1939
1293;Gorky Park;Martin Cruz Smith;1981;Gorky Park;1983
1294;Grand Canary;A. J. Cronin;1933;Grand Canary;1934
1295;The Grapes of Wrath;John Steinbeck;1939;The Grapes of Wrath;1940
1296;The Great Bank Robbery;Frank O'Rourke;1969;The Great Bank Robbery;1969
1297;The Great Dinosaur Robbery;David Forrest;1970;One of Our Dinosaurs Is Missing;1975
1298;Great Expectations;NaN;NaN;Great Expectations;1917
1308;The Great Gatsby;F. Scott Fitzgerald;1925;The Great Gatsby;1926
1315;The Great Man;Al Morgan;1955;The Great Man;1956
1316;The Great Santini;Pat Conroy;1976;The Great Santini;1979
1317;The Great Train Robbery;Michael Crichton;1975;The First Great Train Robbery;1979
1318;"The Great West That Was: ""Buffalo Bill's"" Life Story";NaN;NaN;The Indians are Coming;1930
1320;Green for Danger;Christianna Brand;1944;Green for Danger;1946
