authorID,authorName
256,Rebecca Hagan Lee
257,Noah Gordon
258,Jean Primrose
259,Robert D. San Souci
260,Walter Foster Creative Team
261,Robert Irwin
262,Jack Kerouac
263,Agnes D. Kingston
264,Renato Guedes
265,Dennis Lehane
266,Stephen Miller
267,Len Cariou
268,Marta Acosta
269,Rebecca Aberg
270,Ian Jack
271,Berlitz Publishing Company
272,Carol Stock Kranowitz
273,Howard Korder
274,Ilona Andrews
275,Hugh Trevor-Roper
276,Matthew Cheney
277,R.B. Bernstein
278,Stan Woch
279,Ben Schott
280,Mansur Abdulin
281,Kevin Hawkes
282,Kōji Suzuki
283,Rosalind Ayres
284,Manuel Schonhorn
285,David Wray
286,Aimee Bender
287,Linda  Anderson
288,P.J. Lynch
289,Jakob Nielsen
290,Andy Mastrocinque
291,Kent R. Weeks
292,William Manchester
293,Diane Dawson Hearn
294,Maurgaux Motin
295,Ann Beattie
296,Stéphane Heuet
297,Charles Frazier
298,Charlotte Fiell
299,Jacques Guiod
300,Clare Dowling
301,Reginald E. Allen
302,J.G. Passarella
303,Billy Goldberg
304,Chris Wooding
305,Philip Novak
306,Lou Schuler
307,Samantha Schutz
308,Wilma Davidson
309,Steve Chalke
310,Anthony Bourdain
311,Ursula Nordstrom
312,Nicholas Evans
313,Oliver Onions
314,Peter Petre
315,Jim Dutcher
316,Robert Penn Warren
317,J.M. Cohen
318,Al Switzler
319,Lacey Savage
320,Chuck Palahniuk
321,Julia Butterfly Hill
322,David Ellis
323,Frederick Deluvier
324,Konrad Lorenz
325,Alastair McEwen
326,Marina Mariasch
327,Elizabeth Kostova
328,Commander X
329,Janet Asimov
330,Nicholas Peterson
331,Nancy M. Leak
332,Joseph Cornell
333,Martin Gardner
334,Marta Torent López de Lamadrid
335,Lori Foster
336,Jamel Akib
337,Carol McGreal
338,Thomas Jefferson
339,Manly Wade Wellman
340,Richard W. Bulliet
341,Lizz Weis
342,David W. Macdonald
343,Hélène Cixous
344,Kim McGillivray
345,Maya Angelou
346,H. Jay Riker
347,Laury Magnus
348,Michael Clamp
349,Ralph McInerny
350,David Mazzucchelli
351,Steven Rose
352,Jacqueline Rogers
353,Mark Wheatley
354,Val Mayerick
355,Jonathan  Andrews
356,Ian Thomson
357,Sean Stewart
358,Hugh    Miller
359,Sharon Lebell
360,Anthony Bonner
361,Radclyffe
362,Joan Aiken
363,Leonard  Orr
364,Daniel Defoe
365,Kenneth Robeson
366,Robert Gould
367,Jill Nelson
368,Don Pendleton
369,Leo Dillon
370,Kurt Wolfgang
371,Kate Douglas
372,Diane  Kennedy
373,Robert Lachenauer
374,Jennifer Egan
375,Scott MacMillan
376,Aeschylus
377,Carme Camps Monf
378,Richard Godden
379,Eliot Asinof
380,Linda Lear
381,Linda Wagner-Martin
382,Joanne Harris
383,Ruth  Abbey
384,Fredson Bowers
385,David Schickler
386,Deborah Blum
387,Gary L. Hardcastle
388,Domingo Santos
389,Theodore R. Sizer
390,Larissa Volokhonsky
391,Michael Jordan
392,Jonathan Hale
393,Irving Penn
394,Angela Barrett
395,Luci Berkowitz
396,Yirmiyahu Yovel
397,William L. Crary
398,Ira Levin
399,The Harvard Lampoon
400,Rudolfo Anaya
401,Steve Krug
402,Theodora Goss
403,Earl Lee
404,Pamela Kyle Crossley
405,Jess Winfield
406,Carlos Alberto Gardini
407,Matthew Clark
408,Bart King
409,Leonard Cottrell
410,Alfred Uhry
411,Mary  Pacios
412,Marili Margomenou
413,Dodie Smith
414,Carl Safina
415,Pavel Tsatsouline
416,Molly Mason
417,Richard M. Weaver
418,Andy Frankham-Allen
419,Nancy Cote
420,Langdon Hammer
421,Clifton Fadiman
422,Jane B. Mason
423,Suzanne Arms
424,Hubert L. Dreyfus
425,Freddy Michalski
426,Sarah Fielding
427,Timothy B. Tyson
428,Andreas J. Köstenberger
429,Brad Leithauser
430,Henry Jenkins
431,Terry Deary
432,Theo Davis
433,John Wyndham
434,Various
435,Norman Rockwell
436,Laura Zuccotti
437,Lark Books
438,Poul Anderson
439,Robert A. Weiss
440,Nick Flynn
441,Mark Musa
442,Christopher Andersen
443,Peter Galassi
444,Paul Roche
445,Christa Jansohn
446,Christopher Reich
447,Eike Schönfeld
448,Gillian Beer
449,Jean Lorrah
450,Zoë Ross
451,Kimberly Farr
