ratingID,bookID,average_rating,ratings_count,text_reviews_count
867,2879,4.42,19945,76
868,2880,4.22,140403,1063
869,2881,4.38,10356,79
870,2882,4.36,8773,84
871,2883,4.36,8948,86
872,2885,4.43,227,38
873,2886,4.39,452,13
874,2887,4.43,400,11
875,2893,3.25,3,1
876,2895,4.02,1124,191
877,2896,4.02,9674,343
878,2898,3.57,24,3
879,2899,3.68,6254,423
880,2900,3.84,2061,104
881,2906,4.22,41,3
882,2907,4.22,54,4
883,2912,3.67,114,17
884,2917,3.93,1177,218
885,2920,4.44,557,46
886,2921,3.92,25,2
887,2923,4.26,5437,830
888,2928,4.01,76,12
889,2932,3.67,209122,4131
890,2933,3.67,1507,142
891,2934,3.67,585,63
892,2937,3.67,204,32
893,2940,3.67,311,18
894,2942,3.72,577,36
895,2949,3.85,5,0
896,2952,3.57,242,29
897,2953,4.06,33,3
898,2956,3.82,1049912,11391
899,2958,3.82,144,17
900,2960,3.82,687,37
901,2962,3.82,185,18
902,2965,4.2,970,53
903,2967,3.86,513,71
904,2968,4.28,5710,142
905,2971,4.05,2871,209
906,2973,4.39,207,10
907,2978,3.92,11892,955
908,2988,3.96,715,44
909,2997,3.68,1817,123
910,2998,4.13,764134,11796
911,3003,4.13,1739,116
912,3004,4.33,1653,76
913,3006,4.13,517,13
914,3008,4.2,238192,4392
915,3011,3.8,23,7
916,3014,4.3,150,23
917,3023,4.32,5899,475
918,3025,4.32,328,43
919,3040,4.38,2579,301
920,3041,4.14,1546,122
921,3042,4.39,766,47
922,3047,4.31,1797,166
923,3051,3.91,65,9
924,3053,4.45,22,0
925,3055,4.45,495,30
926,3056,4.36,213,10
927,3061,3.9,39369,80
928,3065,4.11,580,41
929,3066,3.96,8624,409
930,3067,4.22,712,51
931,3068,3.89,8073,319
932,3070,4.0,4,0
933,3072,3.65,662,50
934,3075,3.61,67,6
935,3084,3.88,0,0
936,3087,3.91,128596,3422
937,3088,4.1,2450,113
938,3100,3.51,6,0
939,3101,3.48,1665,125
940,3102,3.96,54765,1437
941,3103,4.03,21997,1005
942,3104,4.14,141,11
943,3105,3.96,368,26
944,3107,3.59,2699,336
945,3113,3.97,3259,187
946,3117,4.11,1864,117
947,3119,4.21,1928,85
948,3120,4.19,2050,76
949,3130,4.25,8,0
950,3142,4.33,254,35
951,3144,4.16,14,4
952,3145,4.16,8,1
953,3147,4.33,69,10
954,3152,4.08,21,0
955,3155,4.26,112,7
956,3156,4.09,139,6
957,3167,3.0,19,0
958,3207,4.17,114,11
959,3231,3.74,34,5
960,3232,4.57,14,0
961,3248,3.77,100,9
962,3254,3.89,4577,126
963,3258,4.29,327,12
964,3273,4.17,91395,8192
965,3280,4.11,592,49
966,3283,3.54,26,1
967,3290,3.97,430,23
968,3291,3.97,12839,375
969,3293,3.97,10,1
970,3298,3.77,1099,46
971,3300,3.93,15345,1075
972,3301,4.23,608,38
973,3302,3.72,514,33
974,3303,3.84,1189,51
975,3304,3.71,17962,778
976,3311,3.43,2359,146
977,3316,4.33,9,0
978,3325,4.02,13,1
979,3340,4.08,382,85
980,3341,4.0,768,96
981,3343,3.17,191,26
982,3344,3.91,970,104
983,3345,3.78,2046,248
984,3346,3.87,51,2
985,3347,3.85,3457,329
986,3348,3.91,127,25
987,3351,0.0,0,0
988,3357,4.47,142,12
989,3359,4.27,856,146
990,3368,4.25,7736,641
991,3384,3.62,15798,612
992,3388,3.98,62954,1791
993,3402,3.4,1084,131
994,3403,3.72,1170,117
