ID,FictionWork,FictionWorkAuthor,FictionWorkYear,FirstFilmAdaptation,FilmAdaptationYear,bookID
1420,High Fidelity,Nick Hornby,1995.0,High Fidelity,2000.0,4267
1467,The Hound of the Baskervilles,,,The Hound of the Baskervilles (German: Der Hund von Baskerville),1914.0,8921
1489,How Green Was My Valley,Richard Llewellyn,1939.0,How Green Was My Valley,1941.0,40496
1538,I Am Legend,Richard Matheson,1954.0,The Last Man on Earth,1964.0,14064
1552,The Illustrated Man,Ray Bradbury,1951.0,The Illustrated Man,1968.0,24832
1590,Islands in the Stream,Ernest Hemingway,1970.0,Islands in the Stream,1977.0,4633
1593,It Can't Happen Here,Sinclair Lewis,1935.0,Shadow on the Land (a.k.a. United States: It Can't Happen Here) (1968),1968.0,11371
1606,Jane Eyre,Charlotte Brontë,1847.0,Jane Eyre,1910.0,10210
1689,The Joy Luck Club,Amy Tan,1989.0,The Joy Luck Club,1993.0,7763
1694,The Jungle,Upton Sinclair,1906.0,The Jungle,1914.0,41681
1695,The Jungle Books,Rudyard Kipling,1894.0,Elephant Boy,1937.0,41684
1710,Jurassic Park,Michael Crichton,1990.0,Jurassic Park,1993.0,22082
1743,The Killer Angels,Michael Shaara,1974.0,Gettysburg,1993.0,44470
1810,The Last Days of Pompeii,Edward Bulwer-Lytton,1834.0,The Last Days of Pompeii (Italian: Gli ultimi giorni di Pompei),1908.0,888
1842,The Last Unicorn,Peter S. Beagle,1968.0,The Last Unicorn,1982.0,29128
1929,Lolita,Vladimir Nabokov,1955.0,Lolita,1962.0,7608
1942,Lord of the Flies,William Golding,1954.0,Lord of the Flies,1963.0,524
1951,Lost Horizon,James Hilton,1933.0,Lost Horizon,1937.0,2978
1966,The Lovely Bones,Alice Sebold,2002.0,The Lovely Bones,2009.0,537
1977,The Maltese Falcon,Dashiell Hammett,1930.0,The Maltese Falcon,1931.0,29999
2019,The Memoirs of Cleopatra,Margaret George,1997.0,Cleopatra,1999.0,10115
2026,Message in a Bottle,Nicholas Sparks,1998.0,Message in a Bottle,1999.0,3471
2045,Les Misérables,Victor Hugo,1862.0,On the Barricade,1907.0,24281
2095,Misery,Stephen King,1987.0,Misery,1990.0,10614
2099,Moby-Dick,Herman Melville,1851.0,The Sea Beast,1926.0,2388
2114,Moonraker,Ian Fleming,1955.0,Moonraker,1979.0,19496
2116,The Moonstone,Wilkie Collins,1868.0,The Moonstone,1909.0,6138
2125,Mother Night,Kurt Vonnegut,1961.0,Mother Night,1996.0,9592
2166,Mystic River,Dennis Lehane,2001.0,Mystic River,2003.0,21671
2167,The Naked and the Dead,Norman Mailer,1948.0,The Naked and the Dead,1958.0,12467
2170,Naked Lunch,William S. Burroughs,1959.0,Naked Lunch,1991.0,7437
2177,The Natural,Bernard Malamud,1952.0,The Natural,1984.0,685
2194,Night Has a Thousand Eyes,Cornell Woolrich,1945.0,Night Has a Thousand Eyes,1948.0,45337
2205,Nights in Rodanthe,Nicholas Sparks,2002.0,Nights in Rodanthe,2008.0,3469
2210,Nineteen Eighty-Four,George Orwell,1949.0,Nineteen Eighty-Four,1954.0,5471
2215,No Country for Old Men,Cormac McCarthy,2005.0,No Country for Old Men,2007.0,12497
2239,Of Human Bondage,W. Somerset Maugham,1915.0,Of Human Bondage,1934.0,31548
2242,Of Mice and Men,John Steinbeck,1937.0,Of Mice and Men,1939.0,890
2280,One Flew Over the Cuckoo's Nest,Ken Kesey,1962.0,One Flew Over the Cuckoo's Nest,1975.0,11225
2303,The Other Boleyn Girl,Philippa Gregory,2001.0,The Other Boleyn Girl (2003),2003.0,31084
2315,A Painted House,John Grisham,2001.0,A Painted House,2003.0,5360
2328,The Pelican Brief,John Grisham,1992.0,The Pelican Brief,1993.0,32499
2334,Pet Sematary,Stephen King,1983.0,Pet Sematary,1989.0,10583
2435,The Power and the Glory,Graham Greene,1940.0,The Fugitive,1947.0,3690
2438,Pride and Prejudice,Jane Austen,1813.0,Pride and Prejudice,1940.0,1888
2463,The Prince of Tides,Pat Conroy,1986.0,The Prince of Tides,1991.0,16735
2464,The Princess Bride,William Goldman,1973.0,The Princess Bride,1987.0,21787
2500,The Quiet American,Graham Greene,1955.0,The Quiet American,1958.0,3698
2512,The Rainmaker,John Grisham,1995.0,The Rainmaker,1997.0,5349
2520,The Razor's Edge,W. Somerset Maugham,1944.0,The Razor's Edge,1946.0,31196
2524,Rebecca,Daphne du Maurier,1938.0,Rebecca,1940.0,12873
2539,Rendezvous in Black,Cornell Woolrich,1948.0,Seven Blood-Stained Orchids,1972.0,45338
2550,The Return of the Native,Thomas Hardy,1878.0,The Return of the Native,1994.0,32650
2574,Rising Sun,Michael Crichton,1992.0,Rising Sun,1993.0,7668
2575,The River,Rumer Godden,1946.0,The River,1951.0,3798
2578,The Road,Cormac McCarthy,2006.0,The Road,2009.0,6288
2582,Robinson Crusoe,Daniel Defoe,1719.0,Robinson Crusoe,1916.0,2933
2631,The Rules of Attraction,Bret Easton Ellis,1987.0,The Rules of Attraction,2002.0,9912
2633,The Runaway Jury,John Grisham,1996.0,Runaway Jury,2003.0,24192
2648,'Salem's Lot,Stephen King,1975.0,Salem's Lot,1979.0,5413
2652,Sanctuary,William Faulkner,1931.0,The Story of Temple Drake,1933.0,18789
2664,Sayonara,James A. Michener,1954.0,Sayonara,1957.0,42956
2665,A Scanner Darkly,Philip K. Dick,1977.0,A Scanner Darkly,2006.0,14817
2671,The Scarlet Letter,Nathaniel Hawthorne,1850.0,The Scarlet Letter,1908.0,12296
2712,The Secret Life of Bees,Sue Monk Kidd,2002.0,The Secret Life of Bees,2008.0,7220
2713,Sense and Sensibility,Jane Austen,1811.0,Sense and Sensibility,1995.0,14934
2752,The Shining,Stephen King,1977.0,The Shining,1980.0,10593
2761,Shutter Island,Dennis Lehane,2003.0,Shutter Island,2010.0,21686
2762,Sideways,Rex Pickett,2004.0,Sideways,2004.0,15781
2775,Skipping Christmas,John Grisham,2001.0,Christmas with the Kranks,2004.0,5357
2777,Slaughterhouse-Five,Kurt Vonnegut,1969.0,Slaughterhouse-Five,1972.0,4981
2792,Something Wicked This Way Comes,Ray Bradbury,1962.0,Something Wicked This Way Comes,1972.0,11390
2804,The Sound and the Fury,William Faulkner,1929.0,The Sound and the Fury,1959.0,17176
