id,bookID,authorID
0,1,5290
1,1,3254
2,2,5290
3,2,3254
4,4,5290
5,5,5290
6,5,3254
7,8,5290
8,8,3254
9,9,6520
10,10,5290
11,12,6251
12,13,6251
13,14,6251
14,16,6251
15,16,2896
16,18,6251
17,21,1863
18,22,1863
19,23,1863
20,24,1863
21,25,1863
22,26,1863
23,27,1863
24,28,1863
25,29,1863
26,30,7464
27,31,7464
28,34,7464
29,35,7464
30,35,520
31,36,3508
32,36,8304
33,36,7528
34,37,4006
35,45,1525
36,45,4194
37,45,4426
38,45,2562
39,45,1249
40,45,7049
41,50,5480
42,51,5107
43,51,8999
44,51,8765
45,53,5480
46,54,1066
47,55,7928
48,57,5758
49,57,8300
50,57,5598
51,57,1053
52,57,371
53,57,6528
54,57,319
55,57,3506
56,57,4404
57,58,8458
58,59,1618
59,61,801
60,63,7694
61,66,4513
62,67,5227
63,68,5227
64,68,500
65,69,5227
66,71,8058
67,72,3757
68,74,6021
69,74,7393
70,75,6021
71,76,6021
72,77,6021
73,78,6021
74,79,6021
75,80,6021
76,81,6021
77,83,6021
78,85,3980
79,86,3980
80,89,7931
81,90,6872
82,91,5298
83,91,6978
84,92,7931
85,93,4763
86,93,4092
87,93,2468
88,94,7931
89,96,6978
90,96,5298
91,98,8572
92,98,5623
93,98,1215
94,98,5583
95,98,836
96,99,2907
97,99,7668
98,100,6872
99,103,4081
100,105,4081
101,106,4081
102,107,4624
103,109,4081
104,110,4081
105,110,4624
106,110,7526
107,117,4081
108,119,5117
109,122,6195
110,123,6195
111,129,6844
112,129,630
113,129,6260
114,130,6724
115,131,5873
116,132,4178
117,133,1859
118,135,6242
119,135,7794
120,137,1859
121,138,7648
122,139,1859
123,140,1859
124,141,8699
125,141,3744
126,142,464
127,144,464
128,147,3216
129,151,7524
130,151,3691
131,151,390
132,152,7524
133,152,1865
134,152,9081
135,153,7524
136,153,3691
137,153,390
138,153,3136
139,154,635
140,154,7524
141,155,7524
142,155,7764
143,155,1374
144,156,7524
145,156,8983
146,156,8632
147,157,7524
148,157,1374
149,157,7764
150,159,5641
151,160,7151
152,162,7568
153,162,764
154,163,1544
155,164,4247
156,164,1156
157,165,7303
158,166,5744
159,166,2912
160,168,2414
161,168,3488
162,168,7538
163,171,3131
164,177,1851
165,177,8830
166,177,5838
167,180,4566
168,180,3034
169,181,7341
170,182,1128
171,201,7341
172,204,4483
173,205,1802
174,207,5998
175,207,4117
176,207,8821
177,208,5459
178,213,3512
179,213,5733
180,214,3512
181,214,9123
182,216,3512
183,216,5388
184,230,3512
185,231,8373
186,237,5670
187,237,7570
188,237,3436
189,244,3341
190,245,2430
191,245,8601
192,247,2430
193,249,2430
194,249,956
195,250,2430
196,251,2430
197,252,2430
198,253,2430
199,264,699
200,264,7016
201,269,699
202,269,4666
203,269,628
204,277,6463
205,278,6463
206,278,1294
207,280,6463
208,280,5359
209,285,8844
210,285,7478
211,285,489
212,288,7285
213,288,1869
214,288,8844
215,289,8844
216,289,8404
217,289,4609
218,290,8844
219,290,1869
220,291,8844
221,291,1869
222,291,947
223,292,8844
224,292,1869
225,295,5447
226,296,5447
227,296,6654
228,297,5447
229,298,5447
230,298,8430
231,298,3002
232,299,5447
233,299,2741
234,302,8434
235,302,804
236,302,5447
237,313,7525
238,324,3662
239,330,4705
240,332,7072
241,333,3331
242,337,7731
243,348,2318
244,350,2318
245,354,2318
246,355,2318
247,356,2318
248,357,6251
249,359,6251
250,362,6369
251,367,8109
252,377,6251
253,377,3591
254,382,6034
255,382,7296
256,385,3894
257,386,440
258,394,7011
259,397,2257
260,397,3373
261,399,6723
262,400,6723
263,403,6723
264,404,6723
265,406,6723
266,407,6723
267,408,6723
268,409,64
269,410,64
270,411,64
271,412,64
272,413,64
273,413,7566
274,413,8682
275,414,64
276,415,64
277,416,64
278,418,7090
279,418,64
280,420,6110
281,421,6110
282,422,6110
283,423,6110
284,424,6110
285,425,6110
286,426,6110
287,426,7359
288,428,6110
289,428,2302
290,431,8530
291,431,5807
292,431,7945
293,432,8530
294,434,8530
295,435,8530
296,444,7182
297,444,6567
298,444,5462
299,446,8530
300,447,8530
301,453,8530
302,454,8530
303,456,8530
304,463,8530
305,466,8530
306,475,3849
307,476,5337
308,476,8094
309,477,8488
310,478,7929
311,481,7746
312,484,7622
313,484,8875
314,484,5402
315,484,3020
316,484,3632
317,493,9193
318,494,7082
319,494,1281
320,497,1364
321,498,9193
322,498,1351
323,511,2432
324,511,1000
325,511,2107
326,515,1525
327,515,7395
328,515,5470
329,523,4921
330,523,219
331,523,6826
332,524,6826
333,531,5096
334,534,4568
335,534,4540
336,537,6860
337,538,6860
338,539,4794
339,565,4507
340,565,2555
341,570,6530
342,576,8124
343,576,2301
344,576,6560
345,597,9198
346,599,9198
347,619,1582
348,629,5632
349,639,4217
350,639,6923
351,639,2340
352,642,7212
353,642,8240
354,643,3613
355,650,5601
356,650,4580
357,655,7524
358,655,2751
359,656,7524
360,656,3971
361,656,8632
362,656,8983
363,658,7524
364,658,1374
365,662,107
366,662,1717
367,663,107
368,664,107
369,665,107
370,665,4358
371,667,107
372,668,107
373,668,1717
374,669,107
375,669,4358
376,669,658
377,669,4352
378,670,107
379,670,984
380,670,1717
381,672,3014
382,672,1880
383,675,3885
384,676,4176
385,678,2181
386,681,6916
387,685,2941
388,685,492
389,698,1522
390,700,8576
391,700,9172
